rank,approach,type,threshold,precision,recall,fpr,f1,accuracy,tp,fp,fn,tn,weights
1,LOF+SVM+AE(tuned),3-model-tuned,0.1,0.9023041277840654,0.8814853447376656,0.010588684572923055,0.8917732472246844,0.9786333333333334,42254,4575,5681,427490,"{'LOF': np.float64(0.8), 'SVM': np.float64(0.2), 'AE': np.float64(0.0)}"
2,IF+LOF+SVM(tuned),3-model-tuned,0.1,0.9023041277840654,0.8814853447376656,0.010588684572923055,0.8917732472246844,0.9786333333333334,42254,4575,5681,427490,"{'IF': np.float64(0.0), 'LOF': np.float64(0.8), 'SVM': np.float64(0.2)}"
3,ALL(tuned),4-model-tuned,0.1,0.9023041277840654,0.8814853447376656,0.010588684572923055,0.8917732472246844,0.9786333333333334,42254,4575,5681,427490,"{'IF': np.float64(0.0), 'LOF': np.float64(0.8), 'SVM': np.float64(0.2), 'AE': np.float64(0.0)}"
4,LOF+SVM+AE,3-model,0.21000000000000002,0.9070814118481731,0.8535099614060707,0.009699929408769514,0.8794806479003429,0.9766395833333333,40913,4191,7022,427874,
5,LOF+SVM,2-model,0.25000000000000006,0.9047797853072403,0.8545530405757797,0.009977665397567496,0.8789494576703967,0.97649375,40963,4311,6972,427754,
6,IF+SVM+AE(tuned),3-model-tuned,0.11000000000000001,0.9059718761124955,0.8494419526442057,0.009780935738835593,0.8767966924708491,0.9761604166666666,40718,4226,7217,427839,"{'IF': np.float64(0.0), 'SVM': np.float64(0.2), 'AE': np.float64(0.8)}"
7,SVM+AE,2-model,0.25000000000000006,0.8979225105189341,0.8547825179931157,0.010780785298508327,0.8758216037705602,0.97579375,40974,4658,6961,427407,
8,SVM,individual,0.49000000000000005,0.8987606029974069,0.8532178992385522,0.010662747503269183,0.8753973095322182,0.97574375,40899,4607,7036,427458,
9,IF+LOF+SVM+AE,4-model,0.32000000000000006,0.7815599784830554,0.7577552936267863,0.02349646465230926,0.7694735727147548,0.9546583333333334,36323,10152,11612,421913,
10,IF+SVM+AE,3-model,0.38000000000000006,0.7851681454704786,0.7476582872640033,0.022695659217941744,0.7659542637315666,0.9543708333333333,35839,9806,12096,422259,
11,IF+LOF+SVM,3-model,0.4100000000000001,0.7827779235546226,0.746802962344842,0.02299191093932626,0.7643673865929302,0.95401875,35798,9934,12137,422131,
12,IF+SVM,2-model,0.49000000000000005,0.7881950652601466,0.7357254615625326,0.021934199715320613,0.7610569816247478,0.9538645833333333,35267,9477,12668,422588,
13,IF+LOF+AE(tuned),3-model-tuned,0.060000000000000005,0.3777508358132187,0.8579952018358193,0.15680048140904726,0.524555037593026,0.8446770833333334,41128,67748,6807,364317,"{'IF': np.float64(0.1111111111111111), 'LOF': np.float64(0.4444444444444444), 'AE': np.float64(0.4444444444444444)}"
14,IF+LOF+AE,3-model,0.16000000000000003,0.3161717752234994,0.7436945864191092,0.17845231620242324,0.44370733164475035,0.8137729166666666,35649,77103,12286,354962,
15,IF+AE,2-model,0.2,0.30549356672129435,0.7310941900490248,0.18439586636270006,0.4309226503372251,0.8071645833333333,35045,79671,12890,352394,
16,IF+LOF,2-model,0.23000000000000004,0.3022506335149262,0.7141337227495567,0.18290072095633758,0.42473571889423795,0.8068166666666666,34232,79025,13703,353040,
17,IF,individual,0.31000000000000005,0.2932620797149855,0.6868884948367581,0.18365060812609213,0.41103551588540044,0.8034208333333334,32926,79349,15009,352716,
18,AE,individual,0.05,0.9657902176986146,0.14252633774903514,0.0005601009107425966,0.24839571706448035,0.9138645833333333,6832,242,41103,431823,
19,LOF+AE,2-model,0.05,0.9295465626523647,0.07954521748200688,0.0006688808396884728,0.14654957049791495,0.9074770833333333,3813,289,44122,431776,
20,LOF,individual,0.05,0.6904376012965965,0.008887034525920517,0.0004420631155034543,0.01754819574888779,0.900625,426,191,47509,431874,
