fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies,bar_rate,drift_events
1,easy,42,CA_MemStream,0.9717344001964614,0.4466004039156326,0.3530269876002918,0.242,0.6522911051212938,3.57393690109253,83012.13820002158,121.212199999718,371,,
1,medium,42,CA_MemStream,0.9287537884580501,0.10063366392661463,0.16831683168316833,0.119,0.28743961352657005,3.4229247915744856,85056.27559998538,100.94289999688044,414,,
1,hard,42,CA_MemStream,0.8367181697868589,0.012800301645250606,0.05232558139534884,0.036,0.09574468085106383,3.346680538654329,80934.61200001184,148.85620001587085,376,,
2,easy,42,CA_MemStream,0.9614577978264472,0.37999600955227236,0.34763313609467456,0.235,0.6676136363636364,4.076501703262344,79972.27440000279,107.13050002232194,352,,
2,medium,42,CA_MemStream,0.8999855342317233,0.06630977303789945,0.14477611940298507,0.097,0.2852941176470588,3.8535777521133445,80978.78489998402,107.35189999104477,340,,
2,hard,42,CA_MemStream,0.7494979654230736,0.008238296319281352,0.041822255414488425,0.028,0.08259587020648967,3.773240824937827,110989.4533000188,109.62839997955598,339,,
3,easy,42,CA_MemStream,0.9801170775655388,0.45232061544159474,0.3456973293768546,0.233,0.6695402298850575,3.8683777296543185,90547.67070000526,164.57189997890964,348,,
3,medium,42,CA_MemStream,0.9595620357798609,0.12522345256162176,0.18811136192626035,0.125,0.3799392097264438,3.698648604154587,85757.68589999643,19.836799998302013,329,,
3,hard,42,CA_MemStream,0.9143108265976133,0.016720267388391562,0.06208425720620843,0.042,0.11898016997167139,3.6149510037899026,86475.62350000953,148.0300000112038,353,,
1,easy,42,CA_MemStream_BAR,0.9717344001964614,0.4466004039156326,0.3530269876002918,0.242,0.6522911051212938,3.57393690109253,85214.17039999506,129.11209999583662,371,0.0,0.0
1,medium,42,CA_MemStream_BAR,0.9287537884580501,0.10063366392661463,0.16831683168316833,0.119,0.28743961352657005,3.4229247915744856,94596.01580002345,137.31809999444522,414,0.0,0.0
1,hard,42,CA_MemStream_BAR,0.8367181697868589,0.012800301645250606,0.05232558139534884,0.036,0.09574468085106383,3.346680538654329,89575.6984000036,146.44399998360313,376,0.0,0.0
2,easy,42,CA_MemStream_BAR,0.9614577978264472,0.37999600955227236,0.34763313609467456,0.235,0.6676136363636364,4.076501703262344,86092.15529999346,149.4572999945376,352,0.0,0.0
2,medium,42,CA_MemStream_BAR,0.8999855342317233,0.06630977303789945,0.14477611940298507,0.097,0.2852941176470588,3.8535777521133445,82109.1493999993,109.88420000649057,340,0.0,0.0
2,hard,42,CA_MemStream_BAR,0.7494979654230736,0.008238296319281352,0.041822255414488425,0.028,0.08259587020648967,3.773240824937827,89081.53350002249,104.24559999955818,339,0.0,0.0
3,easy,42,CA_MemStream_BAR,0.9801170775655388,0.45232061544159474,0.3456973293768546,0.233,0.6695402298850575,3.8683777296543185,77965.18309999374,104.35950002283789,348,0.0,0.0
3,medium,42,CA_MemStream_BAR,0.9595620357798609,0.12522345256162176,0.18811136192626035,0.125,0.3799392097264438,3.698648604154587,79000.20939999376,103.00399997504428,329,0.0,0.0
3,hard,42,CA_MemStream_BAR,0.9143108265976133,0.016720267388391562,0.06208425720620843,0.042,0.11898016997167139,3.6149510037899026,75855.68460001377,102.65570000046864,353,0.0,0.0
