fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
0,easy,CA-DIF-EIA,42,0.9131962560850744,0.9246321114199157,0.011435855334841372
0,easy,CA-DIF-EIA,123,0.9117427035247851,0.9339747436130862,0.02223204008830104
0,easy,CA-DIF-EIA,456,0.9241698278119455,0.9430510883912664,0.018881260579320935
0,easy,CA-DIF-EIA,789,0.8942586027251793,0.9342217923800245,0.03996318965484513
0,easy,CA-DIF-EIA,1024,0.9007195804406252,0.9285220351563581,0.02780245471573295
0,hard,CA-DIF-EIA,42,0.6567880578141336,0.6969086061250611,0.040120548310927484
0,hard,CA-DIF-EIA,123,0.6414590739767665,0.7090505622644799,0.06759148828771344
0,hard,CA-DIF-EIA,456,0.6393551926147207,0.7130331255355127,0.07367793292079194
0,hard,CA-DIF-EIA,789,0.6220035704711959,0.7166805725353573,0.09467700206416141
0,hard,CA-DIF-EIA,1024,0.6577856341501627,0.7028222218857164,0.045036587735553746
0,medium,CA-DIF-EIA,42,0.7967677549774255,0.8389494294053258,0.04218167442790033
0,medium,CA-DIF-EIA,123,0.7959156300487976,0.8442377649314229,0.04832213488262527
0,medium,CA-DIF-EIA,456,0.7915728913924146,0.8509213645767433,0.059348473184328676
0,medium,CA-DIF-EIA,789,0.7632795648045921,0.8419195453254946,0.07863998052090249
0,medium,CA-DIF-EIA,1024,0.7970082285991518,0.8402159521197914,0.04320772352063962
1,easy,CA-DIF-EIA,42,0.8983945458868879,0.9169131507823357,0.018518604895447766
1,easy,CA-DIF-EIA,123,0.9192349563219545,0.91918665328177,-4.830304018454967e-05
1,easy,CA-DIF-EIA,456,0.9073071731364518,0.9234792543877626,0.016172081251310755
1,easy,CA-DIF-EIA,789,0.8923001427480464,0.9393048478903816,0.047004705142335235
1,easy,CA-DIF-EIA,1024,0.8824933042685945,0.9167907174526205,0.034297413184026015
1,hard,CA-DIF-EIA,42,0.6425105819879529,0.6770070974573645,0.03449651546941168
1,hard,CA-DIF-EIA,123,0.6196923367013739,0.6761727246596931,0.05648038795831922
1,hard,CA-DIF-EIA,456,0.6223835732495357,0.6832089857079673,0.06082541245843154
1,hard,CA-DIF-EIA,789,0.6078602337563439,0.6968793662691009,0.08901913251275695
1,hard,CA-DIF-EIA,1024,0.6154050650705128,0.6709924005782159,0.055587335507703006
1,medium,CA-DIF-EIA,42,0.7815638384261405,0.8229846293190421,0.04142079089290163
1,medium,CA-DIF-EIA,123,0.7965018454178818,0.8143391418352847,0.017837296417402837
1,medium,CA-DIF-EIA,456,0.7718402692496193,0.82545924664932,0.053618977399700674
1,medium,CA-DIF-EIA,789,0.7649311140725195,0.8360602801780543,0.07112916610553488
1,medium,CA-DIF-EIA,1024,0.7792841215635268,0.8204781030579521,0.041193981494425325
2,easy,CA-DIF-EIA,42,0.8916569617509505,0.9154251132189624,0.02376815146801181
2,easy,CA-DIF-EIA,123,0.8975063330478031,0.922743125109485,0.025236792061681834
2,easy,CA-DIF-EIA,456,0.886142552007219,0.9350601791185045,0.048917627111285444
2,easy,CA-DIF-EIA,789,0.8934954587337138,0.9411391171367492,0.047643658403035416
2,easy,CA-DIF-EIA,1024,0.8916472629724455,0.9223574382692592,0.030710175296813746
2,hard,CA-DIF-EIA,42,0.6412908762001135,0.6604037202370072,0.019112844036893728
