algorithm,difficulty,avg_rank,std_rank,cd
sklearn_IF,easy,1.8181818181818181,0.3856946079199351,1.8392172247997245
sklearn_LOF,easy,1.5454545454545454,1.1570838237598051,1.8392172247997245
CA-DIF-EIA,easy,2.8181818181818183,0.38569460791993493,1.8392172247997245
METER-SCD,easy,3.8181818181818183,0.38569460791993493,1.8392172247997245
LSTM-AE,easy,5.0,0.0,1.8392172247997245
sklearn_IF,medium,1.9090909090909092,0.28747978728803447,1.8392172247997245
sklearn_LOF,medium,1.2727272727272727,0.8624393618641036,1.8392172247997245
CA-DIF-EIA,medium,2.909090909090909,0.28747978728803447,1.8392172247997245
METER-SCD,medium,3.909090909090909,0.28747978728803447,1.8392172247997245
LSTM-AE,medium,5.0,0.0,1.8392172247997245
sklearn_IF,hard,2.0,0.0,1.8392172247997245
sklearn_LOF,hard,1.0,0.0,1.8392172247997245
CA-DIF-EIA,hard,3.0,0.0,1.8392172247997245
METER-SCD,hard,4.0,0.0,1.8392172247997245
LSTM-AE,hard,5.0,0.0,1.8392172247997245
