fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
0,easy,CA-DIF-EIA,42,0.9025464318819676,0.9404593561642295,0.037912924282261895
0,easy,CA-DIF-EIA,123,0.8973423707252409,0.9478218155295948,0.050479444804353846
0,easy,CA-DIF-EIA,456,0.9193737896488733,0.9449554984352273,0.025581708786354018
0,easy,CA-DIF-EIA,789,0.9104799462593597,0.9414839446244387,0.031003998365079055
0,easy,CA-DIF-EIA,1024,0.905716778070583,0.9405794134741599,0.034862635403576814
0,hard,CA-DIF-EIA,42,0.642240329506389,0.7120799612128332,0.06983963170644425
0,hard,CA-DIF-EIA,123,0.6374665965297099,0.7203720225427722,0.08290542601306228
0,hard,CA-DIF-EIA,456,0.6474120475123399,0.7041737600953784,0.056761712583038415
0,hard,CA-DIF-EIA,789,0.6385384679463363,0.7076160727336096,0.06907760478727332
0,hard,CA-DIF-EIA,1024,0.6413891572575978,0.7120416616084394,0.07065250435084158
0,medium,CA-DIF-EIA,42,0.7882492567080368,0.8516978452907017,0.06344858858266489
0,medium,CA-DIF-EIA,123,0.7873360665433828,0.8625389405528078,0.07520287400942494
0,medium,CA-DIF-EIA,456,0.7992375299104104,0.8534553940185332,0.05421786410812279
0,medium,CA-DIF-EIA,789,0.7966513762763352,0.8514770481118328,0.05482567183549758
0,medium,CA-DIF-EIA,1024,0.789468735672281,0.8542347601259718,0.06476602445369073
1,easy,CA-DIF-EIA,42,0.8841815382766758,0.9299860387834152,0.045804500506739454
1,easy,CA-DIF-EIA,123,0.8925596185204381,0.936530065207612,0.04397044668717387
1,easy,CA-DIF-EIA,456,0.9053521305273875,0.9196034079183728,0.014251277390985306
1,easy,CA-DIF-EIA,789,0.9046308107584476,0.9293840047705575,0.024753194012109847
1,easy,CA-DIF-EIA,1024,0.8994032525579866,0.9342725498404307,0.034869297282444145
1,hard,CA-DIF-EIA,42,0.61928747855135,0.6860920165103015,0.06680453795895147
1,hard,CA-DIF-EIA,123,0.638377562688806,0.6908013465619489,0.05242378387314295
1,hard,CA-DIF-EIA,456,0.6327785337019467,0.6750038057162917,0.042225272014345006
1,hard,CA-DIF-EIA,789,0.6324406206531279,0.6833920903756667,0.050951469722538834
1,hard,CA-DIF-EIA,1024,0.6260074270719979,0.6891985932835369,0.06319116621153908
1,medium,CA-DIF-EIA,42,0.7628143977049671,0.8334882033619264,0.07067380565695935
1,medium,CA-DIF-EIA,123,0.7810799399606986,0.8398424774237023,0.05876253746300375
1,medium,CA-DIF-EIA,456,0.7927339409010832,0.8210271236008106,0.02829318269972747
1,medium,CA-DIF-EIA,789,0.7872209228908029,0.8287224564872365,0.041501533596433604
1,medium,CA-DIF-EIA,1024,0.7812606485827074,0.8377932500102003,0.056532601427492946
2,easy,CA-DIF-EIA,42,0.8959131989371265,0.9314469496772427,0.03553375074011622
2,easy,CA-DIF-EIA,123,0.9052451872198175,0.9413263979302364,0.03608121071041892
2,easy,CA-DIF-EIA,456,0.9173529292645388,0.9313532756089464,0.01400034634440761
2,easy,CA-DIF-EIA,789,0.9184239519504189,0.9359371417121692,0.017513189761750314
2,easy,CA-DIF-EIA,1024,0.904134812846717,0.9314960422711067,0.027361229424389677
2,hard,CA-DIF-EIA,42,0.6328108198644403,0.691889731936318,0.059078912071877654
2,hard,CA-DIF-EIA,123,0.6290270207784274,0.6949322531456751,0.06590523236724766
2,hard,CA-DIF-EIA,456,0.642520619689563,0.6777595609862269,0.03523894129666394
2,hard,CA-DIF-EIA,789,0.64676703635198,0.6907889321267884,0.04402189577480842
2,hard,CA-DIF-EIA,1024,0.6344105797900541,0.6927078260694828,0.05829724627942867
2,medium,CA-DIF-EIA,42,0.7730658209180425,0.8347720269827272,0.06170620606468469
2,medium,CA-DIF-EIA,123,0.7731588273896486,0.842997171937502,0.06983834454785343
2,medium,CA-DIF-EIA,456,0.7987090513774211,0.829252482902258,0.03054343152483685
2,medium,CA-DIF-EIA,789,0.8005160343099346,0.8383739392280046,0.03785790491807006
2,medium,CA-DIF-EIA,1024,0.7825413056896808,0.8368442501545694,0.05430294446488859
3,easy,CA-DIF-EIA,42,0.8915284092353981,0.9376436980768519,0.04611528884145377
3,easy,CA-DIF-EIA,123,0.9085671291667652,0.9388633842360642,0.030296255069299005
3,easy,CA-DIF-EIA,456,0.9152115949779036,0.9344509105395876,0.01923931556168401
3,easy,CA-DIF-EIA,789,0.9110303073165389,0.9388620375024038,0.027831730185864934
3,easy,CA-DIF-EIA,1024,0.9092479607297648,0.9343165065418493,0.02506854581208451
3,hard,CA-DIF-EIA,42,0.6280521082342432,0.6895728863960118,0.0615207781617686
3,hard,CA-DIF-EIA,123,0.6250226399936804,0.6942227509121368,0.06920011091845646
3,hard,CA-DIF-EIA,456,0.6313421129369872,0.6789968675952683,0.04765475465828117
3,hard,CA-DIF-EIA,789,0.6303074392942802,0.6836468927274595,0.05333945343317925
3,hard,CA-DIF-EIA,1024,0.6322119454853368,0.692885284714466,0.06067333922912921
3,medium,CA-DIF-EIA,42,0.7670175768990144,0.8388931487383823,0.07187557183936788
3,medium,CA-DIF-EIA,123,0.7764143737594991,0.8380383657529977,0.06162399199349866
3,medium,CA-DIF-EIA,456,0.7851216832015813,0.8313728921963167,0.04625120899473545
3,medium,CA-DIF-EIA,789,0.7843554549260954,0.8346025545304022,0.050247099604306844
3,medium,CA-DIF-EIA,1024,0.7846000176336456,0.8380711360078039,0.0534711183741583
4,easy,CA-DIF-EIA,42,0.8892620086328114,0.9363440608584171,0.0470820522256058
4,easy,CA-DIF-EIA,123,0.8972218577186545,0.9390108318124395,0.041788974093785014
4,easy,CA-DIF-EIA,456,0.9114567177245749,0.9275971921516583,0.01614047442708333
4,easy,CA-DIF-EIA,789,0.9075993818095598,0.9295156492231924,0.021916267413632617
4,easy,CA-DIF-EIA,1024,0.8948199610621412,0.9303417833365157,0.035521822274374504
4,hard,CA-DIF-EIA,42,0.6249495413932593,0.6936131242862462,0.06866358289298691
4,hard,CA-DIF-EIA,123,0.6292816509893555,0.6841705175022846,0.054888866512929124
4,hard,CA-DIF-EIA,456,0.6310653750606843,0.6796226602031413,0.04855728514245705
4,hard,CA-DIF-EIA,789,0.6295910618751372,0.6808142416122148,0.05122317973707757
4,hard,CA-DIF-EIA,1024,0.624768707587726,0.6850125317907032,0.06024382420297725
4,medium,CA-DIF-EIA,42,0.7626801817646652,0.8396698731921484,0.07698969142748313
4,medium,CA-DIF-EIA,123,0.7736399003299057,0.8369816516651594,0.06334175133525366
4,medium,CA-DIF-EIA,456,0.7832124880100242,0.826397408335268,0.04318492032524379
4,medium,CA-DIF-EIA,789,0.7800495311130666,0.8261944004370692,0.046144869324002524
4,medium,CA-DIF-EIA,1024,0.7668922944002824,0.8286696574738993,0.06177736307361692
0,easy,METER-SCD,42,0.8965522322228104,0.9412331831644581,0.0446809509416477
0,easy,METER-SCD,123,0.8934218038386905,0.9481934515309309,0.05477164769224041
0,easy,METER-SCD,456,0.9043828221749534,0.9431329957914455,0.038750173616492134
0,easy,METER-SCD,789,0.9062992705746564,0.9396712390868431,0.03337196851218671
0,easy,METER-SCD,1024,0.9072149697225149,0.9424019887287783,0.03518701900626342
0,hard,METER-SCD,42,0.6330957388762326,0.7147913633816345,0.08169562450540191
0,hard,METER-SCD,123,0.6344207154214903,0.7190382992983971,0.08461758387690688
0,hard,METER-SCD,456,0.6449300344794433,0.7081946213502908,0.06326458687084746
0,hard,METER-SCD,789,0.6413515164494759,0.7107756971116888,0.0694241806622129
0,hard,METER-SCD,1024,0.6461914229811878,0.7169795985826299,0.07078817560144213
0,medium,METER-SCD,42,0.7800963274408172,0.855322689841105,0.0752263624002878
0,medium,METER-SCD,123,0.7813536263791659,0.8651243689843288,0.08377074260516282
0,medium,METER-SCD,456,0.7954587893626848,0.8572681862776448,0.06180939691496001
0,medium,METER-SCD,789,0.7947848662696466,0.8522575512436342,0.05747268497398761
0,medium,METER-SCD,1024,0.7961993354183413,0.8576016458716915,0.061402310453350206
1,easy,METER-SCD,42,0.884348056204024,0.9300112604261358,0.045663204222111786
1,easy,METER-SCD,123,0.8921108638609786,0.9323227340527844,0.04021187019180583
1,easy,METER-SCD,456,0.9055321279136326,0.9253980865190008,0.019865958605368217
1,easy,METER-SCD,789,0.8926748935701332,0.9317763413500002,0.039101447779867016
1,easy,METER-SCD,1024,0.8978375663008398,0.9286885352886882,0.03085096898784845
1,hard,METER-SCD,42,0.6375904986892561,0.6833738657239179,0.04578336703466179
1,hard,METER-SCD,123,0.6275014475775862,0.6917579829232713,0.0642565353456851
1,hard,METER-SCD,456,0.6347567661446822,0.6754876294463827,0.040730863301700504
1,hard,METER-SCD,789,0.6242124611331038,0.6836999804872212,0.059487519354117446
1,hard,METER-SCD,1024,0.63750977912878,0.6855291434700215,0.04801936434124143
1,medium,METER-SCD,42,0.7768857036633947,0.8308377039902664,0.05395200032687164
1,medium,METER-SCD,123,0.7808077265242761,0.8395226832343708,0.058714956710094746
1,medium,METER-SCD,456,0.785277034792913,0.8260902982372024,0.04081326344428937
1,medium,METER-SCD,789,0.7810104805939728,0.8316898961089498,0.05067941551497701
1,medium,METER-SCD,1024,0.7814436735404203,0.8355877342374134,0.05414406069699307
2,easy,METER-SCD,42,0.9030057314339575,0.9365899932387471,0.033584261804789683
2,easy,METER-SCD,123,0.9079866978823712,0.9400967238172661,0.03211002593489487
2,easy,METER-SCD,456,0.9141850974192206,0.9286905026041614,0.014505405184940812
2,easy,METER-SCD,789,0.928277933617029,0.9354885092838316,0.00721057566680261
2,easy,METER-SCD,1024,0.907471125253886,0.9325992854576369,0.02512816020375097
