fold,difficulty,budget_pct,algorithm,seed,AUC_PR
0,easy,0.01,sHST-River,42,0.5238095238095238
0,easy,0.01,sHST-River,123,0.5238095238095238
0,easy,0.01,sHST-River,456,0.5238095238095238
0,easy,0.01,sHST-River,789,0.5238095238095238
0,easy,0.01,sHST-River,1024,0.523809750569053
0,easy,0.05,sHST-River,42,0.5238095238095238
0,easy,0.05,sHST-River,123,0.5238095238095238
0,easy,0.05,sHST-River,456,0.5238095238095238
0,easy,0.05,sHST-River,789,0.5238095238095238
0,easy,0.05,sHST-River,1024,0.523809750569053
0,easy,0.1,sHST-River,42,0.5238095238095238
0,easy,0.1,sHST-River,123,0.5238095238095238
0,easy,0.1,sHST-River,456,0.5238095238095238
0,easy,0.1,sHST-River,789,0.5238095238095238
0,easy,0.1,sHST-River,1024,0.523809750569053
0,easy,0.25,sHST-River,42,0.5238095238095238
0,easy,0.25,sHST-River,123,0.5238095238095238
0,easy,0.25,sHST-River,456,0.5238095238095238
0,easy,0.25,sHST-River,789,0.5238095238095238
0,easy,0.25,sHST-River,1024,0.523809750569053
0,hard,0.01,sHST-River,42,0.5238095238095238
0,hard,0.01,sHST-River,123,0.5228117870636205
0,hard,0.01,sHST-River,456,0.5238095238095238
0,hard,0.01,sHST-River,789,0.5238095238095238
0,hard,0.01,sHST-River,1024,0.5231113354668292
0,hard,0.05,sHST-River,42,0.5238095238095238
0,hard,0.05,sHST-River,123,0.5228117870636205
0,hard,0.05,sHST-River,456,0.5238095238095238
0,hard,0.05,sHST-River,789,0.5238095238095238
0,hard,0.05,sHST-River,1024,0.5231113354668292
0,hard,0.1,sHST-River,42,0.5238095238095238
0,hard,0.1,sHST-River,123,0.5228117870636205
0,hard,0.1,sHST-River,456,0.5238095238095238
0,hard,0.1,sHST-River,789,0.5238095238095238
0,hard,0.1,sHST-River,1024,0.5231113354668292
0,hard,0.25,sHST-River,42,0.5238095238095238
0,hard,0.25,sHST-River,123,0.5228117870636205
0,hard,0.25,sHST-River,456,0.5238095238095238
0,hard,0.25,sHST-River,789,0.5238095238095238
0,hard,0.25,sHST-River,1024,0.5231113354668292
0,medium,0.01,sHST-River,42,0.5238095238095238
0,medium,0.01,sHST-River,123,0.5238095238095238
0,medium,0.01,sHST-River,456,0.5238095238095238
0,medium,0.01,sHST-River,789,0.5238095238095238
0,medium,0.01,sHST-River,1024,0.5237099772421969
0,medium,0.05,sHST-River,42,0.5238095238095238
0,medium,0.05,sHST-River,123,0.5238095238095238
0,medium,0.05,sHST-River,456,0.5238095238095238
0,medium,0.05,sHST-River,789,0.5238095238095238
0,medium,0.05,sHST-River,1024,0.5237099772421969
0,medium,0.1,sHST-River,42,0.5238095238095238
0,medium,0.1,sHST-River,123,0.5238095238095238
0,medium,0.1,sHST-River,456,0.5238095238095238
0,medium,0.1,sHST-River,789,0.5238095238095238
0,medium,0.1,sHST-River,1024,0.5237099772421969
0,medium,0.25,sHST-River,42,0.5238095238095238
0,medium,0.25,sHST-River,123,0.5238095238095238
0,medium,0.25,sHST-River,456,0.5238095238095238
0,medium,0.25,sHST-River,789,0.5238095238095238
0,medium,0.25,sHST-River,1024,0.5237099772421969
1,easy,0.01,sHST-River,42,0.5238095238095238
1,easy,0.01,sHST-River,123,0.523809750569053
1,easy,0.01,sHST-River,456,0.5238095238095238
1,easy,0.01,sHST-River,789,0.5238095238095238
1,easy,0.01,sHST-River,1024,0.523810430873557
1,easy,0.05,sHST-River,42,0.5238095238095238
1,easy,0.05,sHST-River,123,0.523809750569053
1,easy,0.05,sHST-River,456,0.5238095238095238
1,easy,0.05,sHST-River,789,0.5238095238095238
1,easy,0.05,sHST-River,1024,0.523810430873557
1,easy,0.1,sHST-River,42,0.5238095238095238
1,easy,0.1,sHST-River,123,0.523809750569053
1,easy,0.1,sHST-River,456,0.5238095238095238
1,easy,0.1,sHST-River,789,0.5238095238095238
1,easy,0.1,sHST-River,1024,0.523810430873557
