algorithm,difficulty,avg_rank,std_rank,cd
sklearn_IF,easy,6.0,0.0,3.727157558605038
sklearn_LOF,easy,2.2,0.39999999999999997,3.727157558605038
LOF-50,easy,1.0,0.0,3.727157558605038
CA-DIF-EIA,easy,4.2,0.39999999999999997,3.727157558605038
METER-SCD,easy,4.8,0.39999999999999997,3.727157558605038
HBOS,easy,7.0,0.0,3.727157558605038
LSTM-AE,easy,2.8,0.39999999999999997,3.727157558605038
sklearn_IF,medium,6.0,0.0,3.727157558605038
sklearn_LOF,medium,1.8,0.4,3.727157558605038
LOF-50,medium,1.2,0.4,3.727157558605038
CA-DIF-EIA,medium,4.4,0.48989794855663565,3.727157558605038
METER-SCD,medium,4.6,0.48989794855663565,3.727157558605038
HBOS,medium,7.0,0.0,3.727157558605038
LSTM-AE,medium,3.0,0.0,3.727157558605038
sklearn_IF,hard,5.8,0.39999999999999997,3.727157558605038
sklearn_LOF,hard,1.4,0.4898979485566356,3.727157558605038
LOF-50,hard,1.6,0.4898979485566356,3.727157558605038
CA-DIF-EIA,hard,4.6,0.4898979485566356,3.727157558605038
METER-SCD,hard,4.6,0.8,3.727157558605038
HBOS,hard,7.0,0.0,3.727157558605038
LSTM-AE,hard,3.0,0.0,3.727157558605038
