AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget,BAR_score
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,sHST-River,42,,0,56.52173913043478
0.1652115227040366,0.6118261666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,easy,sHST-River,42,,500,0.033042304540807324
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,sHST-River,123,,0,56.52173913043478
0.16797154441157192,0.6143016666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,easy,sHST-River,123,,500,0.033594308882314385
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,sHST-River,456,,0,56.52173913043478
0.16366598284161624,0.6114434333333334,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,easy,sHST-River,456,,500,0.03273319656832325
0.13710743270703918,0.5212992,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,MemStream,42,,0,13.710743270703919
0.10134237556002003,0.4094662,0.17851110822398336,0.11086009359367435,0.458,0.551,687,5510,4490,813,0.0,0.0,500,0.13043478260869565,1,2,easy,MemStream,42,,500,0.020268475112004008
0.13710743270703918,0.5212992,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,MemStream,123,,0,13.710743270703919
0.10150855193932942,0.41100099999999995,0.17838541666666666,0.11084142394822007,0.45666666666666667,0.5495,685,5495,4505,815,0.0,0.0,500,0.13043478260869565,1,2,easy,MemStream,123,,500,0.020301710387865886
0.13710743270703918,0.5212992,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,MemStream,456,,0,13.710743270703919
0.10106714582347828,0.4078740666666667,0.17783505154639176,0.11022364217252396,0.46,0.557,690,5570,4430,810,0.0,0.0,500,0.13043478260869565,1,2,easy,MemStream,456,,500,0.020213429164695654
0.13763361382379108,0.5219718999999999,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,CA-DIF-EIA (streaming),42,,0,13.763361382379108
0.13763361382379108,0.5219718999999999,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,easy,CA-DIF-EIA (streaming),42,,500,0.027526722764758215
0.14123608166460763,0.5309332,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,CA-DIF-EIA (streaming),123,,0,14.123608166460762
0.1430392976811295,0.5383636,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,easy,CA-DIF-EIA (streaming),123,,500,0.0286078595362259
0.13827427339217585,0.5216934666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,easy,CA-DIF-EIA (streaming),456,,0,13.827427339217586
0.13827427339217585,0.5216934666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,easy,CA-DIF-EIA (streaming),456,,500,0.02765485467843517
0.5652173913043478,0.5,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,medium,sHST-River,42,,0,56.52173913043478
0.16496464674671774,0.6127296333333334,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,medium,sHST-River,42,,500,0.032992929349343544
